iter	Passed	Remaining
606	1770	1146
607	1773	1143
608	1775	609	1609	1777	610	1610	1780	611	1611	1782	612	1612	1784	1126
613	1786	1122
614	1788	1119
615	1790	1116
616	1792	1112
617	1794	1109
618	1796	1105
619	1798	1102
620	1800	1098
621	1802	1095
622	1803	1091
623	1805	1088
624	1807	625	1625	1809	626	1626	1811	1077
627	1813	1074
628	1814	629	1629	1816	630	1630	1818	631	1631	1819	632	1632	1821	633	1633	1823	634	1634	1825	635	1635	1826	1045
636	1828	1041
637	1829	1038
638	1831	1034
639	1832	1031
640	1834	1027
641	1836	1023
642	1837	1020
643	1839	1016
644	1841	1013
645	1842	1009
646	1844	1006
647	1846	1002
648	1847	999
649	1848	995
650	1850	992
651	1851	988
652	1853	984
653	1854	981
654	1856	977
655	1858	974
656	1859	970
657	1861	967
658	1862	963
659	1864	960
660	1866	957
661	1867	953
662	1869	950
663	1871	946
664	1872	943
665	1874	940
666	1875	936
667	1877	933
668	1879	929
669	1881	926
670	1882	923
671	1884	919
672	1885	916
673	1887	912
674	1888	909
675	1890	906
676	1891	902
677	1893	899
678	1895	895
679	1896	892
680	1898	889
681	1899	885
682	1901	882
683	1902	879
684	1904	875
685	1906	872
686	1907	869
687	1909	865
688	1910	862
689	1912	859
690	1914	855
691	1916	852
692	1916	849
693	1918	845
694	1920	842
695	1921	839
696	1923	836
697	1925	832
698	1926	829
699	1928	826
700	1930	823
701	1931	820
702	1933	816
703	1935	813
704	1936	810
705	1938	807
706	1940	804
707	1941	800
708	1941	796
709	1943	793
710	1945	790
711	1947	787
712	1948	784
713	1950	781
714	1952	778
715	1953	774
716	1955	771
717	1956	768
718	1958	765
719	1959	762
720	1961	758
721	1962	755
722	1964	752
723	1965	749
724	1967	746
725	1968	743
726	1970	739
727	1972	736
728	1973	733
729	1975	730
730	1976	727
731	1978	724
732	1980	721
733	1982	718
734	1983	715
735	1985	712
736	1986	708
737	1987	705
738	1988	702
739	1989	699
740	1991	695
741	1992	742	742	1994	743	743	1995	744	744	1997	745	745	1998	746	746	2000	747	747	2002	748	748	2003	749	749	2005	750	750	2007	751	751	2008	662
752	2010	659
753	2012	656
754	2013	653
755	2015	650
756	2017	647
757	2018	644
758	2020	641
759	2022	638
760	2023	635
761	2025	632
762	2027	629
763	2028	626
764	2030	623
765	2032	620
766	2033	617
767	2035	614
768	2037	612
769	2039	609
770	2040	606
771	2042	603
772	2044	600
773	2045	597
774	2047	594
775	2049	591
776	2050	588
777	2052	585
778	2053	582
779	2055	579
780	2056	576
781	2057	573
782	2059	570
783	2060	567
784	2062	564
785	2064	561
786	2065	559
787	2067	556
788	2068	553
789	2070	550
790	2071	547
791	2073	544
792	2075	541
793	2076	538
794	2078	535
795	2080	533
796	2082	530
797	2083	527
798	2085	524
799	2087	521
800	2088	518
801	2090	516
802	2092	513
803	2093	510
804	2095	507
805	2097	504
806	2099	502
807	2102	499
808	2104	496
809	2106	494
810	2108	491
811	2110	488
812	2110	485
813	2113	482
814	2115	480
815	2117	477
816	2119	474
817	2120	471
818	2122	469
819	2124	466
820	2125	463
821	2127	460
822	2128	457
823	2130	455
824	2132	452
825	2133	449
826	2134	446
827	2136	443
828	2137	440
829	2139	438
830	2141	435
831	2143	432
832	2145	430
833	2146	427
834	2148	424
835	2149	421
836	2150	418
837	2152	416
838	2154	413
839	2156	410
840	2158	408
841	2159	405
842	2160	402
843	2162	399
844	2164	396
845	2165	394
846	2167	391
847	2169	388
848	2170	386
849	2172	383
850	2173	380
851	2175	377
852	2177	375
853	2178	372
854	2180	369
855	2182	367
856	2183	364
857	2185	361
858	2187	359
859	2188	356
860	2190	353
861	2191	350
862	2192	348
863	2194	345
864	2195	342
865	2197	339
866	2198	337
867	2200	334
868	2202	332
869	2204	329
870	2205	326
871	2207	324
872	2209	321
873	2211	318
874	2212	316
875	2214	313
876	2215	310
877	2217	308
878	2219	305
879	2220	302
880	2222	300
881	2223	297
882	2225	294
883	2227	292
884	2228	289
885	2229	286
886	2231	284
887	2232	281
888	2233	278
889	2234	276
890	2236	273
891	2237	270
892	2239	268
893	2240	265
894	2242	263
895	2244	260
896	2245	257
897	2247	255
898	2249	252
899	2250	250
900	2252	247
901	2254	244
902	2255	242
903	2257	239
904	2259	237
905	2260	234
906	2262	231
907	2265	229
908	2267	226
909	2268	224
910	2270	221
911	2272	219
912	2273	216
913	2276	214
914	2277	211
915	2279	209
916	2281	206
917	2284	204
918	2287	201
919	2289	199
920	2292	196
921	2294	194
922	2295	191
923	2297	188
924	2298	186
925	2300	183
926	2301	181
927	2302	178
928	2304	176
929	2305	173
930	2307	170
931	2308	168
932	2310	165
933	2311	163
934	2313	160
935	2314	158
936	2316	155
937	2317	153
938	2319	150
939	2320	148
940	2321	145
941	2323	143
942	2324	140
943	2325	137
944	2327	135
945	2328	132
946	2330	130
947	2331	127
948	2333	125
949	2334	122
950	2336	120
951	2337	117
952	2339	115
953	2340	112
954	2342	110
955	2343	107
956	2344	105
957	2346	102
958	2348	100
959	2349	97
960	2350	95
961	2352	92
962	2353	90
963	2354	87
964	2356	85
965	2357	82
966	2359	80
967	2360	78
968	2361	75
969	2363	73
970	2364	70
971	2366	68
972	2367	65
973	2368	63
974	2370	60
975	2371	58
976	2373	55
977	2374	53
978	2375	50
979	2377	48
980	2378	46
981	2380	43
982	2381	41
983	2382	38
984	2383	36
985	2385	33
986	2386	31
987	2387	29
988	2389	26
989	2390	24
990	2391	21
991	2392	19
992	2394	16
993	2395	14
994	2396	12
995	2398	9
996	2399	7
997	2400	4
998	2401	2
999	2403	0
